id,x_minimo,x_maximo,y_minimo,y_maximo,peso_da_placa,area_pixels,perimetro_x,perimetro_y,soma_da_luminosidade,maximo_da_luminosidade,comprimento_do_transportador,tipo_do_aco_A300,tipo_do_aco_A400,espessura_da_chapa_de_aco,temperatura,index_de_bordas,index_vazio,index_quadrado,index_externo_x,indice_de_bordas_x,indice_de_bordas_y,indice_de_variacao_x,indice_de_variacao_y,indice_global_externo,log_das_areas,log_indice_x,log_indice_y,indice_de_orientacao,indice_de_luminosidade,sigmoide_das_areas,minimo_da_luminosidade,falha_1,falha_2,falha_3,falha_4,falha_5,falha_6,falha_outros
10,843,-186,6712,6724,100,98,14,12,9016,102,1356,FALSE,TRUE,40,68.04,0.74,0.09,0.75,0.01,0.64,1,-0.1,-0.08,1,1.99,0.95,1.08,0.25,-0.28,0.22,82,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11,1331,1336,4270168,4270218,100,177,15,50,17388,126,1360,TRUE,FALSE,100,75.96,0.04,0.29,0.1,0,0.33,1,-0.14,-0.14,1,2.25,0.7,1.7,0.9,-0.23,0.41,65,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
12,-11,835,1553913,1553931,100,71,8,19,7972,125,1623,TRUE,FALSE,100,91.67,0.97,0.34,0.33,0,0.75,0.95,0.07,0.07,1,1.85,0.78,1.26,0.67,-0.12,0.22,99,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13,41,210,-20,4440576,100,5688,303,154,598976,125,1356,FALSE,TRUE,40,83.59,0.06,0.46,0.37,0.12,0.56,0.4,-0.57,0.43,0,3.76,2.23,1.79,-0.63,-0.18,1,43,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
14,5261,643,1969029,1969068,100,365,39,40,39229,126,1710,TRUE,FALSE,-154,96.32,0.73,0.45,0.44,0.01,0.44,0.98,-0.52,-0.52,1,2.56,1.23,1.59,0.56,-0.16,0.92,91,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
15,435,729,4737382,4737394,100,1851,304,87,201109,132,1352,TRUE,FALSE,100,94.76,0.64,0.48,0.04,0.22,0.97,0.14,-0.17,-0.17,0,3.27,2.47,1.08,-0.96,-0.15,1,947,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
16,1214,1222,737538,737568,100,147,28,31,16908,133,1362,FALSE,TRUE,175,55.7,0.21,0.39,0.27,0.01,0.29,0.97,0.7,-0.3,1,2.17,0.9,1.48,0.73,-0.1,0.4,105,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
17,7734,1103,4532922,4532948,100,364,99,60,41956,133,1358,TRUE,FALSE,-154,82.57,0.38,0.61,0.72,0.03,0.36,0.43,0.09,0.09,0,2.56,1.56,1.42,-0.28,-0.1,0.99,99,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
18,39,195,1863816,-166,100,13037,623,387,1505833,143,1402,FALSE,TRUE,40,82.63,0.06,0.56,0.81,0.11,0.25,0.5,-0.27,0.73,1,4.12,2.19,2.28,0.19,-0.1,1,35,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
19,828,-186,21571832,2451296,100,67,13,-194,8107,134,-214,FALSE,TRUE,40,79.77,0.76,0.32,0.82,0.01,0.69,1,-0.42,-0.54,1,1.83,0.95,1.04,0.18,0,0.21,112,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
20,205,228,1094338,1094348,100,74,32,12,9115,141,1366,TRUE,FALSE,69,75.66,0.3,0.68,0.43,0.02,0.72,0.83,0.44,0.44,0,1.87,1.36,1,-0.57,-0.04,0.38,110,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
21,41,218,2698232,2698294,100,6327,275,148,660291,126,1358,FALSE,TRUE,40,95.62,0.06,0.42,0.35,0.13,0.64,0.42,-0.07,0.93,0,3.8,2.25,1.79,-0.65,-0.18,1,40,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
22,142,155,1723382,-166,100,60,20,11,6260,117,1360,TRUE,FALSE,70,79.73,0.21,0.54,0.77,0.01,0.65,0.91,0.15,0.3,0,1.78,1.11,1,-0.23,-0.18,0.24,96,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
23,81,216,425023,425176,100,5027,748,403,611544,143,1358,TRUE,FALSE,70,48.63,0.12,0.76,0.88,0.1,0.18,0.38,0.57,-0.43,1,3.7,2.13,2.18,0.12,-0.05,1,93,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
24,932,943,3020344,3020360,100,128,12,16,13996,126,1687,FALSE,TRUE,50,75.57,0.88,0.27,0.69,0.01,0.92,1,-0.16,-0.16,1,2.11,1.04,1.2,0.31,-0.15,0.3,88,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
25,-11,308,1323717,1323745,100,222,25,-194,25660,125,1358,TRUE,FALSE,70,100.71,0.43,0.43,0,0.01,0.56,0.97,1.03,0.03,1,2.35,1.15,1.45,0.5,-0.1,0.65,104,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
26,4174,817,151240,151265,100,-206,32,25,16759,134,1372,FALSE,TRUE,-154,68.83,0.81,0.59,0.52,0.01,0.41,1,-0.35,-0.35,1,2.12,1.11,1.4,0.48,-0.02,0.54,114,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
27,1578,1592,178458,178484,100,168,36,29,18671,124,1692,FALSE,TRUE,300,92.18,0.12,0.54,0.54,0.01,0.39,0.9,0.11,0.11,1,2.23,1.15,1.42,0.46,-0.13,0.6,99,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
28,275,299,1133715,1133734,100,318,39,32,39911,140,1364,FALSE,TRUE,40,90.42,0.4,0.3,0.79,0.02,0.62,0.59,-0.18,-0.18,0,2.5,1.38,1.28,-0.21,-0.02,0.74,116,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
29,251,-186,961360,961371,100,67,11,11,7550,125,1364,TRUE,FALSE,70,77.44,0.37,0.32,0.82,0.01,0.82,1,0.26,0.46,1,1.83,0.95,1.04,0.18,-0.12,0.21,99,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
30,4579,630,2113679,-166,100,926,113,146,98616,126,1364,FALSE,TRUE,-154,81.89,0.91,0.42,0.08,0.01,0.1,0.99,-0.18,-0.18,1,2.97,1.04,2.16,0.92,-0.17,1,92,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
31,284,357,2286293,2286298,100,-206,73,17,24816,134,-214,FALSE,TRUE,40,79.3,0.42,0.45,0.07,0.05,1,0.29,0.56,0.56,0,2.31,1.86,0.7,-0.93,-0.04,0.6,116,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
32,2874,422,289647,289665,100,355,-229,58,46882,143,1360,FALSE,TRUE,-154,74.73,0.54,0.64,0.33,0.04,0.47,0.31,0.16,0.31,1,2.55,1.74,1.26,-0.67,0.03,0.99,123,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
33,39,212,862475,862693,100,-206,794,495,0,142,1400,FALSE,TRUE,40,73.31,0.06,0.54,0.79,0.12,0.22,0.44,0.15,0.29,1,4.24,2.24,2.34,0.21,-0.08,1,975,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
34,-11,357,1747625,1747660,100,314,84,50,38597,140,1356,TRUE,FALSE,70,94.21,0.47,0.74,0,0.03,0.42,0.7,1.25,0.25,0,2.5,1.54,1.54,0,-0.04,1,110,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
35,507,517,399348,399363,100,-206,10,15,11910,123,1687,TRUE,FALSE,80,78.27,0.6,0.23,0.67,0.01,1,1,-0.37,-0.37,1,2.06,1,1.18,0.33,-0.2,0.27,992,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
36,1126,1134,16578476,2636459,100,59,11,10,6936,135,1656,TRUE,FALSE,100,72.28,0.63,0.26,0.8,0,0.73,1,0.06,0.06,1,1.77,0.9,1,0.2,-0.08,0.19,102,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
37,98,168,3687004,395722,100,8035,-229,214,782154,134,1360,FALSE,TRUE,200,85.49,0.14,0.43,0.35,0.05,0.37,0.94,-0.59,-0.59,1,3.91,1.85,2.3,0.65,-0.24,1,80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
38,85,96,1398904,1398914,100,61,-229,11,6834,124,1358,TRUE,FALSE,70,84.26,0.13,0.45,0.91,0.01,0.92,0.91,0.6,-0.4,0,1.79,1.04,1,-0.09,-0.12,0.22,102,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
39,41,232,844714,844903,100,-206,755,497,0,141,1400,FALSE,TRUE,40,65.08,0.06,0.44,0.99,0.14,0.25,0.38,0.06,1.06,0,4.31,2.28,2.28,-0.01,-0.08,1,23,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
40,1335,1668,2191536,2191539,100,795,333,-194,95390,167,1692,TRUE,FALSE,70,73.56,0.03,0.2,0.01,0.2,1,0.05,0.22,0.22,0,2.9,2.52,0.48,-0.99,-0.06,0.99,77,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
41,74,80,16673887,2615309,100,62,13,14,6764,126,1358,TRUE,FALSE,70,63.01,0.11,0.26,0.43,0,0.46,1,0.05,0.05,1,1.79,0.78,1.15,0.57,-0.15,0.19,97,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
42,1365,1374,4174907,4174926,100,115,9,19,9441,109,1387,FALSE,TRUE,50,105.5,0.02,0.33,0.47,0.01,1,1,0.07,0.18,1,2.06,0.95,1.28,0.53,-0.36,0.29,44,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
43,4,17,2445033,2445050,100,-206,19,-194,5940,77,1358,TRUE,FALSE,70,76.37,0.01,0.56,0.76,0.01,0.68,1,0.15,0.3,1,1.99,1.11,1.23,0.24,0,0.37,47,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
44,6681,832,928256,928264,100,53,9,-194,9033,181,1387,FALSE,TRUE,-154,73.23,0.8,0.17,1,0.01,0.89,1,-0.44,0.56,0,1.72,0.9,0.9,0,0.33,0.17,1239,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
45,-11,1619,1671950,1671963,100,69,10,14,5361,93,1656,TRUE,FALSE,80,75,0.04,0.34,0.62,0,0.8,0.93,-0.22,-0.22,1,1.84,0.9,1.11,0.38,-0.39,0.21,63,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
46,41,58,8055612,997556,100,128,38,27,16028,134,1400,FALSE,TRUE,40,72.46,0.06,0.46,0.82,0.01,0.45,0.52,-0.14,0.86,0,2.11,1.23,1.15,-0.18,-0.02,0.39,120,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
47,41,189,1853169,-166,100,10880,649,409,1245114,141,1400,FALSE,TRUE,40,78.17,0.06,0.57,0.87,0.11,0.23,0.42,0.18,0.35,1,4.04,2.17,2.23,0.13,-0.11,1,33,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
48,41,209,4639210,4639275,100,5828,296,169,618846,0,-214,FALSE,TRUE,40,92.35,0.06,0.47,0.39,0.12,0.57,0.38,0.1,1.1,0,3.77,2.23,1.81,-0.61,-0.17,1,48,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
49,61,213,7783272,-166,100,-206,157,95,417036,127,1362,FALSE,TRUE,40,80.97,0.09,0.48,0.32,0.11,0.97,0.51,-0.53,0.47,0,3.58,2.18,1.68,-0.68,-0.15,1,784,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
50,155,187,-20,673281,100,129,50,25,16937,141,-214,FALSE,TRUE,50,66.12,0.23,0.63,0.34,0.02,0.64,0.44,-0.53,-0.7,0,2.11,1.51,1.04,-0.66,0.03,0.58,123,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
51,3888,734,684933,685134,100,16521,926,591,1992604,149,1400,FALSE,TRUE,-154,68.52,0.06,0.88,0.29,0.5,0.75,0.34,-0.12,0.88,1,4.22,2.84,2.3,-0.71,-0.06,1,21,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
52,3616,655,5303273,5303295,100,336,30,25,35912,127,1362,FALSE,TRUE,-154,81.75,0.93,0.27,0.95,0.02,0.7,0.88,-0.2,-0.2,1,2.53,1.32,1.34,0.05,-0.17,0.74,79,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
53,-11,1360,4807459,-166,100,135,12,-194,13096,109,1387,FALSE,TRUE,50,71.67,0.04,0.25,0.45,0.01,0.75,0.95,0.03,0.12,1,2.13,0.95,1.3,0.55,-0.24,0.31,838,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
54,436,453,9983054,1120571,100,369,18,34,41469,148,-214,FALSE,TRUE,150,78.09,0.52,0.36,0.5,0.01,0.94,1,0.31,0.31,1,2.57,1.23,1.53,0.5,-0.12,0.86,52,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
55,1644,1661,1554711,1554760,100,468,-229,54,41524,101,1692,TRUE,TRUE,70,106.46,0.04,0.44,0.35,0.01,0.24,0.91,0.28,0.28,1,2.67,1.23,1.69,0.65,-0.31,0.97,80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
56,39,178,21748360,2627391,100,7998,558,-194,889727,140,1400,FALSE,TRUE,40,69.94,0.06,0.64,0.86,0.1,0.25,0.47,-0.25,0.75,1,3.9,2.14,2.21,0.14,-0.13,1,49,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
57,6,14,393457,393488,100,196,11,31,22532,134,1687,FALSE,TRUE,200,65.54,0.01,0.21,0.26,0,0.73,1,-0.09,-0.09,1,2.29,0.9,1.49,0.74,-0.1,0.41,97,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
58,185,199,387402,387414,100,75,23,12,8535,127,1356,TRUE,FALSE,70,72.6,0.27,0.55,0.86,0.01,0.61,1,1.1,0.1,0,1.88,1.15,1.08,-0.14,-0.11,0.29,104,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
59,253,265,220228,220253,100,200,30,-194,18651,108,1692,FALSE,TRUE,300,62.01,0.3,0.33,0.48,0.01,0.4,1,0.29,0.29,1,2.3,1.08,1.4,0.52,-0.27,0.5,66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
60,10,21,-20,204953,100,135,16,23,8781,86,1356,TRUE,FALSE,70,92.86,0.01,0.39,0.55,0.01,0.69,0.87,0.86,-0.14,1,2.13,1.04,1.3,0.45,-0.49,0.37,46,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
61,69,81,-20,2001794,100,119,20,18,11516,117,-214,TRUE,FALSE,70,68.41,0.1,0.45,0.67,0.01,0.6,1,0.94,-0.06,1,2.08,1.08,1.26,0.33,-0.24,0.36,84,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
62,39,173,2616577,2616725,100,8344,558,338,945879,141,1400,FALSE,TRUE,40,70.26,0.06,0.58,0.91,0.1,0.24,0.44,-0.33,0.67,1,3.92,2.13,2.17,0.09,-0.11,1,52,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
63,6808,976,2690125,2690135,100,67,-229,-194,6947,119,1690,TRUE,FALSE,-154,66.67,0.85,0.26,0.9,0.01,0.69,1,-0.36,-0.36,1,1.83,0.95,1,0.1,-0.19,0.2,84,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
64,22,31,-20,2097270,100,60,15,13,5573,103,1354,TRUE,FALSE,70,63.08,0.03,0.49,0.69,0.01,0.6,1,1.24,0.24,1,1.78,0.95,1.11,0.31,-0.27,0.23,81,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
65,1129,1137,1207379,1207406,100,101,27,27,11776,133,1694,FALSE,TRUE,70,79.45,0.66,0.53,0.3,0,0.3,1,0.41,0.41,1,2,0.9,1.43,0.7,-0.09,0.36,104,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
66,990,-186,1973168,1973176,100,59,8,8,6543,122,1622,TRUE,FALSE,70,72.49,0.77,0.08,1,0,1,1,-0.02,-0.02,0,1.77,0.9,0.9,0,-0.13,0.17,93,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
67,1287,1302,3204829,3204845,100,191,17,16,20590,133,1627,FALSE,TRUE,40,61.95,0.4,0.2,0.94,0.01,0.88,1,0.3,0.3,1,2.28,1.18,1.2,0.06,-0.16,0.4,67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
68,615,623,-20,2197376,100,111,21,24,12919,127,1366,FALSE,TRUE,100,76.28,0.9,0.42,0.33,0.01,0.38,1,0.11,0.11,1,2.05,0.9,1.38,0.67,-0.09,0.32,106,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
69,63,92,-20,-166,100,58,29,10,7618,165,1690,TRUE,FALSE,70,83.66,0.07,0.33,0.1,0.02,1,0.3,-0.19,-0.19,0,1.76,1.46,0.48,-0.9,0.03,0.19,100,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
70,3170,373,929482,929513,100,213,42,39,20512,118,1374,FALSE,TRUE,-154,75.58,0.52,0.57,0.52,0.01,0.38,0.79,0.11,0.11,1,2.33,1.2,1.49,0.48,-0.25,0.78,80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
71,-11,149,356611,356625,100,170,39,20,22467,141,1362,FALSE,TRUE,100,85.99,0.18,0.49,0.58,0.02,0.62,0.7,0.09,0.21,0,2.23,1.38,1.15,-0.42,0.03,0.56,123,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
72,1215,1232,1545468,1545486,100,184,-229,22,22708,135,1628,FALSE,TRUE,120,96.99,0.49,0.4,0.94,0.01,0.4,0.82,-0.01,-0.01,1,2.26,1.23,1.26,0.06,-0.04,0.51,115,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
73,1134,1145,5798193,5798213,100,143,20,21,16538,134,1362,FALSE,TRUE,40,88.14,0.32,0.35,0.55,0.01,0.55,0.95,0.47,0.47,1,2.16,1.04,1.3,0.45,-0.1,0.37,104,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
74,39,218,965451,965599,100,16821,670,425,1972773,141,1398,FALSE,TRUE,40,82.16,0.06,0.37,0.83,0.13,0.27,0.35,-0.79,0.21,0,4.23,2.25,2.17,-0.17,-0.08,1,29,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
75,-11,864,519257,519266,100,57,10,-194,9848,183,1387,FALSE,TRUE,40,88.12,0.75,0.21,0.89,0.01,0.8,0.82,0.25,1.25,1,1.76,0.9,0.95,0.11,0.35,0.18,161,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
76,6032,1047,603596,603608,100,80,12,12,9136,133,1358,FALSE,TRUE,-154,102.27,0.46,0.26,0.75,0.01,0.75,1,-0.37,-0.47,1,1.9,0.95,1.08,0.25,-0.11,0.22,100,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
77,-11,219,1704636,1704704,100,6625,351,173,686356,124,1358,FALSE,TRUE,40,65.59,0.06,0.45,0.38,0.13,0.51,0.39,-0.09,0.91,0,3.82,2.25,1.83,-0.62,-0.19,1,951,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
78,1116,1151,4387848,4387862,100,175,53,32,20658,134,1364,TRUE,FALSE,80,86.33,0.31,0.64,0.4,0.03,0.66,0.44,0.03,0.03,0,2.24,1.54,1.15,-0.6,-0.08,0.78,104,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
79,1312,1322,35038393,4118372,100,77,15,14,8558,119,-214,FALSE,TRUE,40,70.03,0.04,0.45,0.71,0.01,0.67,1,-0.6,-0.6,1,1.89,1,1.15,0.29,-0.13,0.25,104,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
80,1250,153,310621,310797,100,-206,365,268,287273,143,1394,FALSE,TRUE,-154,82.42,0.16,0.68,0.23,0.03,0.11,0.66,0.37,0.61,1,3.36,1.6,2.25,0.77,-0.02,1,113,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
81,63,82,287835,287869,100,400,49,42,35427,101,1356,TRUE,FALSE,70,66.78,0.09,0.38,0.56,0.01,0.39,0.81,1.11,0.11,1,2.6,1.28,1.53,0.44,-0.31,0.91,78,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
82,39,-186,409491,409539,100,3920,-229,88,407163,125,1360,FALSE,TRUE,40,87.56,0.06,0.4,0.35,0.1,0.82,0.55,0.44,1.44,0,3.59,2.13,1.68,-0.65,-0.19,1,45,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
83,449,549,2212600,2212608,100,368,110,35,43968,133,1356,FALSE,TRUE,40,82.8,0.66,0.54,0.08,0.07,0.91,0.23,-0.16,-0.16,0,2.57,2,0.9,-0.92,-0.07,0.97,111,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
84,1111,1130,2527319,2527390,100,747,62,72,76627,127,1280,TRUE,FALSE,100,95,0.23,0.45,0.27,0.01,0.31,0.99,-0.24,-0.24,1,2.87,1.28,1.85,0.73,-0.2,1,85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
85,25,34,2588285,281513,100,891,36,155,76438,103,1353,FALSE,TRUE,185,77.29,0.04,0.36,0.06,0.01,0.25,1,-0.15,-0.15,1,2.95,0.95,2.19,0.94,-0.33,1,70,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
86,145,197,1317364,1317395,100,508,112,59,65223,142,1362,FALSE,TRUE,40,76.97,0.21,0.68,0.6,0.04,0.46,0.53,1.27,0.27,0,2.71,1.72,1.49,-0.4,0,1,120,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
87,21,-186,28588709,5367377,100,784,66,54,82565,133,1648,TRUE,FALSE,80,77.07,0.03,0.72,1,0.03,0.8,0.98,0.1,0.1,0,2.89,1.72,1.72,0,-0.18,1,67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
88,1357,1370,3378464,3378474,100,81,15,10,8996,133,1692,TRUE,FALSE,60,104.61,0.38,0.38,0.77,0.01,0.87,1,0.03,0.12,0,1.91,1.11,1,-0.23,-0.13,0.24,91,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
89,498,509,261713,261732,100,144,17,19,15785,132,1356,FALSE,TRUE,40,86.33,0.73,0.31,0.58,0.01,0.65,1,0.15,0.15,1,2.16,1.04,1.28,0.42,-0.14,0.35,88,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
90,929,939,1248676,1248687,100,88,13,11,9120,118,1656,TRUE,FALSE,80,93.45,0.87,0.2,0.91,0.01,0.77,1,0.3,0.52,1,1.94,1,1.04,0.09,-0.19,0.22,88,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
91,-11,-186,1814642,1814708,100,6525,278,134,674367,124,1358,FALSE,TRUE,40,87.24,0.06,0.43,0.38,0.13,0.62,0.49,0.29,1.29,0,3.81,2.24,1.82,-0.62,-0.19,1,38,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
92,-11,1592,-20,1612870,100,193,25,30,18218,111,1654,TRUE,FALSE,69,88.82,0.08,0.36,0.33,0.01,0.4,1,-0.36,-0.46,1,2.29,1,1.48,0.67,-0.26,0.5,78,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
93,-11,782,1292292,1292296,100,12,4,-194,1537,149,1360,FALSE,TRUE,-154,65.25,0.85,0.25,0,0,1,1,0.21,0.39,0,1.08,0.6,0.6,0,0,0.13,112,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
